DatePeriod,StartDate,EndDate,AthleteName,Swim Number of Activities,Swim Total Distance,Cycle Number of Activities,Cycle Total Distance,Run Number of Activities,Run Total Distance,Swim Expected Sprint Distance,Swim Expected Olympic Distance,Swim Sprint Difference,Swim Olympic Difference,Cycle Expected Sprint Distance,Cycle Expected Olympic Distance,Cycle Sprint Difference,Cycle Olympic Difference,Run Expected Sprint Distance,Run Expected Olympic Distance,Run Sprint Difference,Run Olympic Difference
1,2024-10-19,2024-10-26,MikeK,1,1000.0,6,86551.9,2,21468.7,320,680,680.0,320.0,9000,18000,77551.9,68551.9,2500,4500,18968.7,16968.7
2,2024-10-26,2024-11-02,MikeK,1,1000.0,9,128965.1,2,56168.3,320,680,680.0,320.0,9000,18000,119965.1,110965.1,2500,4500,53668.3,51668.3
3,2024-11-02,2024-11-09,MikeK,1,1600.0,5,136760.0,2,32451.199999999997,360,760,1240.0,840.0,10000,20000,126760.0,116760.0,2500,5000,29951.2,27451.2
4,2024-11-09,2024-11-16,MikeK,1,1040.0,3,52202.4,6,40819.6,400,840,640.0,200.0,11000,22000,41202.4,30202.4,3000,5500,37819.6,35319.6
5,2024-11-16,2024-11-23,MikeK,0,0.0,3,102836.09999999999,0,0.0,440,920,-440.0,-920.0,12000,24000,90836.1,78836.1,3000,6000,-3000.0,-6000.0
6,2024-11-23,2024-11-30,MikeK,1,2000.0,10,119267.4,2,22560.6,480,960,1520.0,1040.0,13000,26000,106267.4,93267.4,3500,6500,19060.6,16060.6
7,2024-11-30,2024-12-07,MikeK,2,2612.0,5,85780.8,4,47669.3,520,1000,2092.0,1612.0,14000,28000,71780.8,57780.8,3500,7000,44169.3,40669.3
8,2024-12-07,2024-12-14,MikeK,1,2000.0,6,181577.4,2,29258.8,560,1120,1440.0,880.0,15000,30000,166577.4,151577.4,4000,7500,25258.8,21758.8
9,2024-12-14,2024-12-21,MikeK,0,0.0,0,0.0,0,0.0,560,1120,-560.0,-1120.0,15000,30000,-15000.0,-30000.0,4000,7500,-4000.0,-7500.0
10,2024-12-21,2024-12-28,MikeK,0,0.0,0,0.0,0,0.0,560,1120,-560.0,-1120.0,15000,30000,-15000.0,-30000.0,4000,7500,-4000.0,-7500.0
11,2024-12-28,2025-01-04,MikeK,0,0.0,0,0.0,0,0.0,600,1200,-600.0,-1200.0,16000,32000,-16000.0,-32000.0,4000,8000,-4000.0,-8000.0
12,2025-01-04,2025-01-11,MikeK,0,0.0,0,0.0,0,0.0,600,1200,-600.0,-1200.0,16000,32000,-16000.0,-32000.0,4000,8000,-4000.0,-8000.0
13,2025-01-11,2025-01-18,MikeK,0,0.0,0,0.0,0,0.0,640,1280,-640.0,-1280.0,17000,34000,-17000.0,-34000.0,4500,8500,-4500.0,-8500.0
14,2025-01-18,2025-01-25,MikeK,0,0.0,0,0.0,0,0.0,640,1360,-640.0,-1360.0,18000,36000,-18000.0,-36000.0,4500,9000,-4500.0,-9000.0
15,2025-01-25,2025-02-01,MikeK,0,0.0,0,0.0,0,0.0,680,1440,-680.0,-1440.0,19000,38000,-19000.0,-38000.0,5000,9500,-5000.0,-9500.0
16,2025-02-01,2025-02-08,MikeK,0,0.0,0,0.0,0,0.0,680,1440,-680.0,-1440.0,19000,38000,-19000.0,-38000.0,5000,9500,-5000.0,-9500.0
17,2025-02-08,2025-02-15,MikeK,0,0.0,0,0.0,0,0.0,720,1520,-720.0,-1520.0,20000,40000,-20000.0,-40000.0,5000,10000,-5000.0,-10000.0
18,2025-02-15,2025-02-22,MikeK,0,0.0,0,0.0,0,0.0,760,1600,-760.0,-1600.0,21000,42000,-21000.0,-42000.0,5500,10500,-5500.0,-10500.0
19,2025-02-22,2025-03-01,MikeK,0,0.0,0,0.0,0,0.0,800,1640,-800.0,-1640.0,22000,44000,-22000.0,-44000.0,5500,11000,-5500.0,-11000.0
